permno,fyear,EXECID,grantdate,val,security,ret,retlag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo,val_lag,time
10644,2009,18190,20090226,3.9453881,1,-0.759216988,-0.225969594,6.653369846,2.31256138,1.70597411,0.801145536,0.692221659,4.748568985,0.404023519,0.082320372,5.108710617,17
10644,2010,18190,20100701,4.070734697,0,-0.035601234,-0.658251769,6.833455014,2.426290759,1.471279941,0.703541334,0.717072898,4.763096586,0.364325788,0.101268146,3.642835516,18
10644,2010,18190,20100225,4.308560005,1,0.488421819,-0.759216988,6.833455014,2.426290759,1.471279941,0.703541334,0.717072898,4.763096586,0.364325788,0.101268146,3.9453881,18
10644,2011,18190,20110701,4.605260182,0,0.409901556,-0.035601234,7.039421604,2.654742461,1.806208791,0.711989103,0.747111393,4.755200962,0.313743645,0.067919523,4.070734697,19
10644,2011,18190,20110225,4.776065094,1,0.228634536,0.488421819,7.039421604,2.654742461,1.806208791,0.711989103,0.747111393,4.755200962,0.313743645,0.067919523,4.308560005,19
10644,2012,18190,20120701,5.553300612,0,0.074449499,0.409901556,7.360698026,2.972901632,2.163604971,0.72804603,0.766727797,4.760617168,0.266517629,0.05287055,4.605260182,20
10696,1994,374,19940701,6.57831656,1,0.056202191,0.172355812,7.986045715,3.855339657,2.731635522,0.504349606,1.371112181,7.076183266,0.069949829,0.042977857,6.328881273,2
10696,1995,374,19950701,6.545661715,1,0.209758855,0.056202191,8.389597404,4.208491848,2.764406746,0.6006301,1.346226059,7.257959936,0.074460945,0.053315889,6.57831656,3
10696,1996,374,19960701,6.940971783,1,0.124451759,0.209758855,8.439430684,4.287167346,3.226091389,0.502785888,1.483927483,7.542371987,0.137049456,0.062470829,6.545661715,4
10696,1997,374,19970701,7.002998261,1,0.357825203,0.124451759,10.17432276,5.704515724,3.263825864,0.84874919,1.607418108,7.554606657,0.088944868,0.078979515,6.940971783,5
10696,1998,374,19980701,7.910709458,1,0.309347779,0.357825203,10.52340407,6.05318117,3.359032004,0.860397738,1.516929816,8.199049437,0.062905552,0.08884271,7.002998261,6
