permno,fyear,date,adjfac,S0,S1,u,sigma
75976,2007,20080531,1.5,12.168888516,17.560000102,0.3432745107,0.2457764886
75976,2008,20090531,1.5,17.560000102,14.693333944,0.1681252007,0.3122813155
75976,2009,20100531,1,14.693333944,25.709999084,0.3227846693,0.3646113929
75976,2010,20110531,1,25.709999084,44.840000153,0.4364460464,0.3745993179
75976,2011,20120531,1,44.840000153,38.939998627,0.4499695186,0.3358264176
76139,2007,20071231,1,18.440000534,24.520000458,0.2303751094,0.2500701448
76139,2008,20081231,1,24.520000458,19.530000687,0.1417608828,0.2905382909
76139,2009,20091231,1,19.530000687,15.260000229,-0.055793582,0.3922669897
76139,2010,20101231,1,15.260000229,17.129999161,-0.107206246,0.4064294804
76139,2011,20111231,1,17.129999161,14.529999733,-0.085591459,0.3979714203
76149,2007,20071231,1,34.560001373,34.209999084,0.1659089027,0.1919084435
76149,2008,20081231,1,34.209999084,23.770000458,0.0074637967,0.2139583219
76149,2009,20091231,1,23.770000458,21.290000916,-0.160004101,0.2213025164
76149,2010,20101231,1,21.290000916,22.489999771,-0.124599499,0.2581785084
76149,2011,20111231,1,22.489999771,21.040000916,-0.040590446,0.2731110484
76392,2007,20071231,1.25,12.672000122,11.119999695,-0.050399159,0.3548481175
76392,2008,20081231,1.25,11.119999695,14.344000244,0.1167616698,0.3988473474
76392,2009,20091231,1.25,14.344000244,15.391999817,0.0579975323,0.4601411338
76392,2010,20101231,1.25,15.391999817,12.663999939,0.0517770438,0.4573543893
76392,2011,20111231,1,12.663999939,13.380000114,-0.01908464,0.3974162148
76750,2007,20080331,1.5,15.599999322,11.266666412,-0.006862181,0.2492651923
76750,2008,20090331,1.5,11.266666412,18.219999949,0.0631238078,0.3298220134
76750,2009,20100331,1.5,18.219999949,23.839998881,0.1976870844,0.348429903
76750,2010,20110331,1,23.839998881,32.979999542,0.4257845454,0.3082099817
76750,2011,20120331,1,32.979999542,41.490001678,0.3128718935,0.2702805883
77338,2007,20071231,1,50.240001678,62.540000916,0.220053885,0.1606816673
77338,2008,20081231,1,62.540000916,43.409999847,0.0285839969,0.2128721654
77338,2009,20091231,1,43.409999847,52.369998932,0.0246540789,0.2063902222
77338,2010,20101231,1,52.369998932,76.430000305,0.1123418279,0.2335034801
77338,2011,20111231,1,76.430000305,86.870002747,0.2634384227,0.2123317332
77354,2007,20080531,1,31.770000458,31.100000381,-0.076855256,0.2499645996
77354,2008,20090531,1,31.100000381,19.600000381,-0.093366812,0.4302604979
77354,2009,20100531,1,19.600000381,26.149999619,-0.033690605,0.4419236134
77354,2010,20110531,1,26.149999619,27.239999771,-0.003319629,0.436367001
