permno,fyear,date,adjfac,S0,S1,u,sigma
48725,2011,20111231,1,105.9400024,125.7200012,0.305848005,0.278769464
51625,2007,20071231,1,14.05000019,4.96999979,0.189107816,0.217558764
51625,2008,20081231,1,4.96999979,8.18999958,-0.048525122,0.307554436
51625,2009,20091231,1,8.18999958,8.25,0.099948938,0.411184143
51625,2010,20101231,1,8.25,10.64999962,-0.002887514,0.420721357
51625,2011,20111231,1,10.64999962,13.81000042,0.311038185,0.384039249
52476,2007,20071231,1,36.36000061,26.52000046,0.060219917,0.201303812
52476,2008,20081231,1,26.52000046,30.88999939,-0.136709684,0.243493501
52476,2009,20091231,1,30.88999939,35.59999847,-0.089465805,0.28349343
52476,2010,20101231,1,35.59999847,38.74000168,0.008038569,0.297950766
52476,2011,20111231,1,38.74000168,54.11999893,0.131480156,0.263483763
53110,2007,20071231,1,44.95000076,29.02000046,0.388443979,0.421229106
53110,2008,20081231,1,29.02000046,39.8199997,0.178076177,0.506695171
53110,2009,20091231,1,39.8199997,44.22000122,0.184591035,0.51060569
53110,2010,20101231,1,44.22000122,29.43000031,0.035416786,0.477324902
53110,2011,20111231,1,29.43000031,47.40999985,0.045731911,0.332807946
54148,2007,20071231,1,10.53999996,10.93000031,-0.234956211,0.355382142
54148,2008,20081231,1,10.93000031,10,-0.292491514,0.530615207
54148,2009,20091231,1,10,7.519999981,-0.256000115,0.600197851
54148,2010,20101231,1,7.519999981,6.309999943,-0.107149081,0.599415717
54148,2011,20111231,1,6.309999943,18.15999985,-0.167445379,0.525253491
54827,2007,20070630,1,30.01000023,24.40999985,-0.041461101,0.242958283
54827,2008,20080630,1,24.40999985,15.55000019,-0.04187279,0.278879253
54827,2009,20090630,1,15.55000019,18.23999977,-0.24366125,0.377716718
54827,2010,20100630,1,18.23999977,25.77000046,-0.137702129,0.404344808
54827,2011,20110630,1,25.77000046,23.94000053,0.069282895,0.407260092
55597,2007,20071231,1,37.02000046,12.72000027,0.302039602,0.534351453
55597,2008,20081231,1,12.72000027,18.54000092,0.137966065,0.642821132
55597,2009,20091231,1,18.54000092,38.63999939,-0.054556819,0.599491175
55597,2010,20101231,1,38.63999939,24.28000069,0.288473664,0.593244111
55597,2011,20111231,1,24.28000069,25.78000069,0.385329548,0.501800654
56223,2007,20071231,1,13.68000031,1.559999943,-0.218620328,0.213456671
56223,2008,20081231,1,1.559999943,6.980000019,-0.511874018,0.546910747
56223,2009,20091231,1,6.980000019,9.460000038,0.724542602,0.97543428
56223,2010,20101231,1,9.460000038,8.069999695,0.972619381,1.015204243
56223,2011,20111231,1,8.069999695,19.3199997,1.219239673,0.863706456
59045,2007,20071231,1,46.47999954,27.36000061,0.228891074,0.228835177
59045,2008,20081231,1,27.36000061,34.83000183,0.043097841,0.347425522
59045,2009,20091231,1,34.83000183,44.04999924,0.049619914,0.365634043
59045,2010,20101231,1,44.04999924,65.83999634,0.035169271,0.371766072
59045,2011,20111231,1,65.83999634,61.88999939,0.340009136,0.290805089
61516,2007,20071231,1,103.6200028,75.30999756,0.168501664,0.255008358
61516,2008,20081231,1,75.30999756,96.45999908,0.03926691,0.291634738
61516,2009,20091231,1,96.45999908,103.8499985,0.063408121,0.319415873
61516,2010,20101231,1,103.8499985,96.04000092,0.020529077,0.326955221
61516,2011,20111231,1,96.04000092,105.0500031,0.090421388,0.280185795
61815,2007,20071231,1,79.51999664,49.22000122,0.325248633,0.272180938
61815,2008,20081231,1,49.22000122,71.22000122,0.106973658,0.341503213
61815,2009,20091231,1,71.22000122,86.08000183,0.200134252,0.333479247
61815,2010,20101231,1,86.08000183,94.38999939,0.084163554,0.343383232
61815,2011,20111231,1,94.38999939,101.7399979,0.246598798,0.310525256
64135,2007,20070630,1,28.86000061,29.77000046,0.128754215,0.37816668
64135,2008,20080630,1,29.77000046,31.51000023,0.094906602,0.291744342
64135,2009,20090630,1,31.51000023,39.25,0.185201207,0.470771755
64135,2010,20100630,1,39.25,30.71999931,0.096368524,0.497538348
64135,2011,20110630,1,30.71999931,19.95000076,0.022959291,0.488508556
64311,2007,20071231,1,50.43999863,47.04999924,0.074862968,0.272810477
64311,2008,20081231,1,47.04999924,52.41999817,-0.018449298,0.283390361
64311,2009,20091231,1,52.41999817,62.8199997,-0.005161876,0.299170179
64311,2010,20101231,1,62.8199997,72.86000061,0.07324069,0.3135858
64311,2011,20111231,1,72.86000061,61.84000015,0.15376878,0.294237857
67193,2007,20070831,2,27.09000015,44.84999847,0.388971669,0.310870102
67193,2008,20080831,1,44.84999847,23.21999931,0.555562059,0.364388716
67193,2009,20090831,1,23.21999931,23.65999985,0.308032245,0.508303675
67193,2010,20100831,1,23.65999985,48.04999924,0.04763263,0.477118452
67193,2011,20110831,1,48.04999924,59.8199997,0.184998453,0.445855447
69550,2007,20071231,1,14.06000042,9.890000343,-0.065651941,0.244494483
69550,2008,20081231,1,9.890000343,18.43000031,-0.259071993,0.302433747
69550,2009,20091231,1,18.43000031,21.12999916,0.072789979,0.318219594
69550,2010,20101231,1,21.12999916,21.45999908,0.229456854,0.32798776
69550,2011,20111231,1,21.45999908,27.45000076,0.337283008,0.285688348
75591,2007,20071231,1,36.13000107,24.14999962,0.057607381,0.200912731
75591,2008,20081231,1,24.14999962,31.14999962,-0.050264139,0.281783663
75591,2009,20091231,1,31.14999962,39.11999893,0.011279458,0.311257818
75591,2010,20101231,1,39.11999893,37.11000061,0.063904905,0.347134035
75591,2011,20111231,1,37.11000061,46.52999878,0.160910301,0.300304445
75592,2007,20071231,1,46.04000092,34.74000168,0.021363325,0.136725666
75592,2008,20081231,1,34.74000168,37.75999832,-0.03331925,0.230712064
75592,2009,20091231,1,37.75999832,37.45000076,-0.023921872,0.302977477
75592,2010,20101231,1,37.45000076,36.56000137,-0.062935803,0.310341687
75592,2011,20111231,1,36.56000137,44.36999893,0.014975675,0.258279266
76148,2007,20071231,1,68.93000031,14.31000042,0.532048446,0.460596657
76148,2008,20081231,1,14.31000042,25.17000008,0.004645903,0.58668505
76148,2009,20091231,1,25.17000008,26.97999954,-0.067762885,0.562273303
76148,2010,20101231,1,26.97999954,23.20999908,0.007560158,0.584154354
76148,2011,20111231,1,23.20999908,27.55999947,0.226050454,0.458374565
77117,2007,20071231,1,7.690000057,4.5,-0.35927818,0.282443843
77117,2008,20081231,1,4.5,1.889999986,-0.395126201,0.420028289
77117,2009,20091231,1,1.889999986,11.85000038,-0.507375538,1.297625143
77117,2010,20101231,1,11.85000038,7.840000153,1.414756235,1.581591942
77117,2011,20111231,1,7.840000153,8.970000267,1.443429014,1.583618415
77182,2007,20070630,1,19.57999992,31.77000046,-0.006771828,0.227697363
77182,2008,20080630,1,31.77000046,27.78000069,0.280335846,0.281425132
77182,2009,20090630,1,27.78000069,59.0699997,0.200015081,0.380768421
77182,2010,20100630,1,59.0699997,87.87000275,0.519962065,0.403868083
77182,2011,20110630,1,87.87000275,117.9300003,0.489312015,0.348202162
77659,2007,20080229,1,28.34000015,21.29999924,-0.113317766,0.234511884
77659,2008,20090228,1,21.29999924,41.61000061,-0.174688251,0.314420091
77659,2009,20100228,1,41.61000061,48.15000153,0.12243473,0.356414362
77659,2010,20110228,1,48.15000153,59.74000168,0.27972508,0.372348744
