permno,fyear,EXECID,val,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
16126,2008,36052,0.000,0,0.15468,0.82994,0.000,9.207,4.806,2.258,0.53626,2.46625,5.26950,0.00000,0.19375
16126,2008,36052,5.943,1,0.63440,0.62825,5.504,9.207,4.806,2.258,0.53626,2.46625,5.26950,0.00000,0.19375
16126,2009,36052,5.288,0,-0.26908,0.63440,0.000,8.319,4.047,2.658,0.58877,1.16544,5.87413,0.24190,0.31138
16126,2009,36052,5.806,1,-0.26908,0.63440,5.943,8.319,4.047,2.658,0.58877,1.16544,5.87413,0.24190,0.31138
16126,2010,36052,5.521,0,0.27743,-0.26908,5.288,8.365,3.839,0.719,0.92554,1.41951,5.94793,0.18443,0.23283
16126,2010,36052,6.262,1,0.27743,-0.26908,5.806,8.365,3.839,0.719,0.92554,1.41951,5.94793,0.18443,0.23283
16126,2011,36052,5.488,0,0.34326,0.27743,5.521,8.677,4.089,0.000,0.86360,1.48928,6.34128,0.26668,0.11018
16126,2011,36052,6.004,1,0.34326,0.27743,6.262,8.677,4.089,0.000,0.86360,1.48928,6.34128,0.26668,0.11018
17726,2007,12592,8.310,0,0.12409,0.33785,7.220,10.482,6.110,4.263,0.98434,1.62109,8.75763,0.34356,0.05424
17726,2007,12592,0.000,1,0.40610,0.00895,0.000,10.482,6.110,4.263,0.98434,1.62109,8.75763,0.34356,0.05424
17726,2008,12592,8.721,0,0.06307,0.12409,8.310,10.810,6.419,3.944,0.88935,1.58508,8.85080,0.31069,0.08006
17726,2008,12592,0.000,1,0.10975,0.40610,0.000,10.810,6.419,3.944,0.88935,1.58508,8.85080,0.31069,0.08006
17726,2009,12592,8.779,0,-0.24648,0.06307,8.721,10.579,6.185,3.955,0.89457,1.49800,8.82099,0.32885,0.06047
17726,2009,12592,0.000,1,-0.11302,0.10975,0.000,10.579,6.185,3.955,0.89457,1.49800,8.82099,0.32885,0.06047
17726,2010,12592,8.837,0,0.29046,-0.16680,8.779,10.865,6.372,2.452,0.85570,1.63330,8.78462,0.26226,0.11160
17726,2010,12592,0.000,1,0.10469,-0.11302,0.000,10.865,6.372,2.452,0.85570,1.63330,8.78462,0.26226,0.11160
17726,2011,12592,8.835,0,0.39683,0.26416,8.837,11.119,6.589,1.713,0.88254,1.76511,8.83928,0.25030,0.09032
17726,2011,12592,0.000,1,0.37691,0.10469,0.000,11.119,6.589,1.713,0.88254,1.76511,8.83928,0.25030,0.09032
19561,2007,23288,0.000,0,0.27370,0.12209,0.000,10.613,6.225,4.825,0.08795,2.20839,10.85505,0.08339,0.12486
19561,2007,23288,8.646,1,0.14364,0.27376,8.810,10.613,6.225,4.825,0.08795,2.20839,10.85505,0.08339,0.12486
19561,2008,23288,0.000,0,-0.42636,0.27370,0.000,10.638,6.375,5.722,0.24211,1.93965,10.98507,0.07182,0.18504
19561,2008,23288,8.484,1,-0.08849,0.14364,8.646,10.638,6.375,5.722,0.24211,1.93965,10.98507,0.07182,0.18504
19561,2009,23288,8.051,0,-0.62638,-0.08849,0.000,9.890,5.543,5.630,0.44275,1.57799,10.89266,0.08852,-0.00680
19561,2009,23288,7.830,1,-0.62638,-0.08849,8.484,9.890,5.543,5.630,0.44275,1.57799,10.89266,0.08852,-0.00680
19561,2010,23288,8.102,0,1.00059,-0.62638,8.051,10.282,6.033,6.086,0.45763,1.59926,11.03576,0.13023,0.10419
19561,2010,23288,8.360,1,1.00059,-0.62638,7.830,10.282,6.033,6.086,0.45763,1.59926,11.03576,0.13023,0.10419
19561,2011,23288,8.138,0,0.13666,1.00059,8.102,10.582,6.360,6.365,0.55185,1.65948,11.13555,0.10916,0.04757
19561,2011,23288,8.505,1,0.13666,1.00059,8.360,10.582,6.360,6.365,0.55185,1.65948,11.13555,0.10916,0.04757
23077,2006,03847,6.686,0,0.09578,-0.01674,6.657,10.046,5.446,0.000,0.56782,2.19955,9.18387,0.20599,0.10288
23077,2006,03847,7.748,1,0.09578,-0.01674,7.738,10.046,5.446,0.000,0.56782,2.19955,9.18387,0.20599,0.10288
23077,2007,03847,7.231,0,0.02709,0.11335,6.686,11.140,7.377,6.636,0.80095,2.32736,9.21374,0.20907,0.11253
23077,2007,03847,7.814,1,0.02709,0.11335,7.748,11.140,7.377,6.636,0.80095,2.32736,9.21374,0.20907,0.11253
23077,2008,03847,7.314,0,0.08715,0.02709,7.231,11.089,7.314,6.693,0.76596,2.20781,9.26540,0.22223,0.11844
23077,2008,03847,7.868,1,0.08715,0.02709,7.814,11.089,7.314,6.693,0.76596,2.20781,9.26540,0.22223,0.11844
23077,2009,03847,7.314,0,-0.24088,0.08715,7.314,10.490,6.429,6.527,0.75338,1.99518,9.17629,0.26667,0.11045
23077,2009,03847,7.805,1,-0.24088,0.08715,7.868,10.490,6.429,6.527,0.75338,1.99518,9.17629,0.26667,0.11045
