permno,fyear,EXECID,grantdate,P_month,T,r,sigma,d,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
11644,2009,34308,20091231,12,10,0.03527,0.47278,0.00000,0,-0.14551,0.36498,9.090,11.122,6.531,0.126,0.40000,1.71763,7.36448,0.07748,0.29344
11644,2009,34308,20090731,7,10,0.03527,0.47278,0.00000,1,-0.37498,1.21130,0.000,11.122,6.531,0.126,0.40000,1.71763,7.36448,0.07748,0.29344
11644,2010,34308,20101231,12,10,0.03237,0.53442,0.00000,0,-0.39664,-0.14551,9.012,11.090,6.499,0.021,0.39181,1.45450,7.52831,0.17413,0.11170
11644,2010,34308,20100731,7,10,0.03237,0.53442,0.00000,1,-0.34511,-0.37498,0.000,11.090,6.499,0.021,0.39181,1.45450,7.52831,0.17413,0.11170
11644,2011,34308,20111231,12,10,0.01961,0.52757,0.00000,0,-0.37818,-0.39664,8.445,10.631,6.028,0.000,0.40985,1.05250,7.58336,0.24832,0.16765
11644,2011,34308,20110731,7,10,0.01961,0.52757,0.00000,1,0.25736,-0.34511,0.000,10.631,6.028,0.000,0.40985,1.05250,7.58336,0.24832,0.16765
11850,2007,26689,20071130,11,10,0.04018,0.19815,0.01904,0,0.10951,0.26311,9.517,11.139,6.703,3.602,0.36817,2.48469,12.29690,0.01534,0.23657
11850,2007,26689,20070731,7,10,0.04018,0.19815,0.01904,1,0.19789,0.10305,0.000,11.139,6.703,3.602,0.36817,2.48469,12.29690,0.01534,0.23657
11850,2008,26689,20081130,11,10,0.02391,0.20811,0.01706,0,-0.11940,0.10951,9.688,11.461,6.969,2.638,0.28270,2.57995,12.39704,0.01532,0.23744
11850,2008,26689,20080731,7,10,0.02391,0.20811,0.01706,1,-0.08153,0.19789,0.000,11.461,6.969,2.638,0.28270,2.57995,12.39704,0.01532,0.23744
11850,2009,26689,20091130,11,10,0.03527,0.17739,0.01677,0,-0.06791,-0.11940,9.776,11.431,6.953,2.495,0.24622,2.24651,12.33733,0.01840,0.24671
11850,2009,26689,20090731,7,10,0.03527,0.17739,0.01677,1,-0.13274,-0.08153,0.000,11.431,6.953,2.495,0.24622,2.24651,12.33733,0.01840,0.24671
11850,2010,26689,20101130,11,10,0.03237,0.17078,0.01927,0,-0.07644,-0.06791,9.739,11.383,6.912,2.366,0.21992,1.90761,12.36018,0.02158,0.12470
11850,2010,26689,20100731,7,10,0.03237,0.17078,0.01927,1,-0.15533,-0.13274,0.000,11.383,6.912,2.366,0.21992,1.90761,12.36018,0.02158,0.12470
11850,2011,26689,20111130,11,10,0.01961,0.18436,0.02227,0,0.15419,-0.07644,9.646,11.724,7.177,0.425,0.26931,1.71808,12.61987,0.02889,0.20749
11850,2011,26689,20110731,7,10,0.01961,0.18436,0.02227,1,0.33381,-0.15533,0.000,11.724,7.177,0.425,0.26931,1.71808,12.61987,0.02889,0.20749
12570,2007,26006,20070331,3,10,0.04018,0.14342,0.00757,0,0.02161,0.19857,8.256,10.218,6.054,4.603,0.00000,2.01402,8.91342,0.07334,0.12188
12570,2007,26006,20070331,3,10,0.04018,0.14342,0.00757,1,0.02161,0.19857,7.176,10.218,6.054,4.603,0.00000,2.01402,8.91342,0.07334,0.12188
12570,2008,26006,20080331,3,10,0.02391,0.16185,0.00771,0,-0.17265,0.02161,8.423,10.340,6.234,4.835,0.09907,1.69601,9.35476,0.18200,0.10456
12570,2008,26006,20080331,3,10,0.02391,0.16185,0.00771,1,-0.17265,0.02161,7.204,10.340,6.234,4.835,0.09907,1.69601,9.35476,0.18200,0.10456
12570,2009,26006,20090331,3,10,0.03527,0.26142,0.01043,0,-0.26830,-0.17265,8.507,9.882,5.758,5.588,0.47527,1.50538,9.25734,0.13608,0.09612
